{'eta': 0.009545321598473766, 'gamma': 0.4492677112058558, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6358189482011964, 'sampling_method': 'gradient_based', 'lambda': 0.25551113958604377, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.05871475, 'tree_no': 26}
{'eta': 0.3572813262273681, 'gamma': 0.031955165183545686, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.84358318841137, 'sampling_method': 'gradient_based', 'lambda': 2.322482647745362, 'min_child_weight': 2, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048842875, 'tree_no': 27}
{'eta': 0.4935528962462624, 'gamma': 0.3188086571621547, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8978603692883058, 'sampling_method': 'gradient_based', 'lambda': 2.7570118294446706, 'min_child_weight': 6, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049653, 'tree_no': 28}
{'eta': 0.49690338557425223, 'gamma': 0.06856161110092951, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9365882924998262, 'sampling_method': 'gradient_based', 'lambda': 2.81456012591897, 'min_child_weight': 2, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049800625, 'tree_no': 29}
{'eta': 0.495171322126285, 'gamma': 0.03585172420853627, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.9912770932804202, 'sampling_method': 'gradient_based', 'lambda': 2.2179436561494694, 'min_child_weight': 6, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050095125, 'tree_no': 30}
{'eta': 0.4759132312601092, 'gamma': 0.02526416018439892, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.643523224269641, 'sampling_method': 'gradient_based', 'lambda': 2.9540021066470628, 'min_child_weight': 6, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048253500000000005, 'tree_no': 31}
{'eta': 0.47534836869151276, 'gamma': 0.3044211532407888, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.9498115480106577, 'sampling_method': 'gradient_based', 'lambda': 2.915719953704467, 'min_child_weight': 6, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.051200125, 'tree_no': 32}
{'eta': 0.48257910185228164, 'gamma': 0.1966882298003776, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9537579340576037, 'sampling_method': 'gradient_based', 'lambda': 2.9136415884964872, 'min_child_weight': 3, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04928475, 'tree_no': 33}
{'eta': 0.4846682467266768, 'gamma': 0.24785546181042523, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.6194264748154751, 'sampling_method': 'gradient_based', 'lambda': 2.703745625473748, 'min_child_weight': 7, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049063875, 'tree_no': 34}
{'eta': 0.49749178885537554, 'gamma': 0.04152062489505809, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.6316447313309498, 'sampling_method': 'gradient_based', 'lambda': 2.69440304290943, 'min_child_weight': 7, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049284999999999995, 'tree_no': 35}
{'eta': 0.4981881454153791, 'gamma': 0.46094510481443735, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.6955947785994453, 'sampling_method': 'gradient_based', 'lambda': 2.9887555074043997, 'min_child_weight': 5, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049063875, 'tree_no': 36}
{'eta': 0.4888223876833435, 'gamma': 0.059161927839623596, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9507322217946099, 'sampling_method': 'gradient_based', 'lambda': 2.9259535653896203, 'min_child_weight': 4, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04943225, 'tree_no': 37}
{'eta': 0.4999664402778809, 'gamma': 0.18405850706184562, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.9940533332764984, 'sampling_method': 'gradient_based', 'lambda': 2.911001744350431, 'min_child_weight': 7, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050315874999999996, 'tree_no': 38}
{'eta': 0.4662896077055104, 'gamma': 0.09427244765001358, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.6176120624258499, 'sampling_method': 'gradient_based', 'lambda': 2.8072323429927963, 'min_child_weight': 3, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048474375, 'tree_no': 39}
