{'n_estimators': 500, 'learning_rate': 0.1491562200916677, 'gamma': 0.12766117677323918, 'max_depth': 6, 'subsample': 0.694881553621091, 'sampling_method': 'gradient_based', 'reg_lambda': 0.7353262482883827, 'min_child_weight': 5, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9726376073814826, 'tree_no': 26}
{'n_estimators': 500, 'learning_rate': 0.1289250611867462, 'gamma': 0.8283706586612469, 'max_depth': 11, 'subsample': 0.8424959268093386, 'sampling_method': 'gradient_based', 'reg_lambda': 1.9820924474154613, 'min_child_weight': 7, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9756485755212478, 'tree_no': 27}
{'n_estimators': 500, 'learning_rate': 0.17796098560405776, 'gamma': 0.7457598769845404, 'max_depth': 11, 'subsample': 0.7316402330365946, 'sampling_method': 'gradient_based', 'reg_lambda': 1.9948744638141733, 'min_child_weight': 3, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9750595710881653, 'tree_no': 28}
{'n_estimators': 500, 'learning_rate': 0.2625832543096647, 'gamma': 0.45375234640187156, 'max_depth': 6, 'subsample': 0.6614372144001525, 'sampling_method': 'gradient_based', 'reg_lambda': 0.916116939144475, 'min_child_weight': 4, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.975913223799649, 'tree_no': 29}
{'n_estimators': 500, 'learning_rate': 0.29407799629047365, 'gamma': 0.37522223345207684, 'max_depth': 11, 'subsample': 0.6057300698750759, 'sampling_method': 'gradient_based', 'reg_lambda': 0.21690462699172186, 'min_child_weight': 7, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9758576874205845, 'tree_no': 30}
{'n_estimators': 500, 'learning_rate': 0.06538452180170355, 'gamma': 0.9113070621388962, 'max_depth': 11, 'subsample': 0.8529229080582219, 'sampling_method': 'gradient_based', 'reg_lambda': 1.6862308692759163, 'min_child_weight': 4, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9735214840653242, 'tree_no': 31}
{'n_estimators': 500, 'learning_rate': 0.21618467020491988, 'gamma': 0.8052516456995589, 'max_depth': 9, 'subsample': 0.9091263768142792, 'sampling_method': 'gradient_based', 'reg_lambda': 1.390448564614079, 'min_child_weight': 7, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9748167038571883, 'tree_no': 32}
{'n_estimators': 500, 'learning_rate': 0.26513663501061097, 'gamma': 0.839973822031705, 'max_depth': 9, 'subsample': 0.9069333691024277, 'sampling_method': 'gradient_based', 'reg_lambda': 1.1164112958429804, 'min_child_weight': 3, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9735466497703152, 'tree_no': 33}
{'n_estimators': 500, 'learning_rate': 0.14419007114148, 'gamma': 0.8556070036821528, 'max_depth': 11, 'subsample': 0.9546631895676885, 'sampling_method': 'gradient_based', 'reg_lambda': 0.5161334480370912, 'min_child_weight': 3, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9748647788736875, 'tree_no': 34}
{'n_estimators': 500, 'learning_rate': 0.1598781501689914, 'gamma': 0.11363311093984729, 'max_depth': 3, 'subsample': 0.6229438677708689, 'sampling_method': 'gradient_based', 'reg_lambda': 0.7226072636400769, 'min_child_weight': 3, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9734962704332646, 'tree_no': 35}
{'n_estimators': 500, 'learning_rate': 0.1856744580803357, 'gamma': 0.6271716790531301, 'max_depth': 5, 'subsample': 0.7414865542894425, 'sampling_method': 'gradient_based', 'reg_lambda': 1.754276864492276, 'min_child_weight': 2, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9769804730909668, 'tree_no': 36}
{'n_estimators': 500, 'learning_rate': 0.2849277170722615, 'gamma': 0.6879844391659741, 'max_depth': 9, 'subsample': 0.9854870868635854, 'sampling_method': 'gradient_based', 'reg_lambda': 0.677964811195108, 'min_child_weight': 6, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.976, 'tree_no': 37}
{'n_estimators': 500, 'learning_rate': 0.21094434544575044, 'gamma': 0.20159500631217353, 'max_depth': 7, 'subsample': 0.8370381794379271, 'sampling_method': 'gradient_based', 'reg_lambda': 0.41813291948854125, 'min_child_weight': 7, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9772111553784861, 'tree_no': 38}
{'n_estimators': 500, 'learning_rate': 0.1975244595182097, 'gamma': 0.9180683902252692, 'max_depth': 7, 'subsample': 0.705760077645293, 'sampling_method': 'gradient_based', 'reg_lambda': 1.9660171114187948, 'min_child_weight': 2, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.975035776753061, 'tree_no': 39}
{'n_estimators': 500, 'learning_rate': 0.16628608573589998, 'gamma': 0.41359342286249423, 'max_depth': 12, 'subsample': 0.9417395393556577, 'sampling_method': 'gradient_based', 'reg_lambda': 0.915352409093179, 'min_child_weight': 3, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9742612011439465, 'tree_no': 40}
{'n_estimators': 500, 'learning_rate': 0.04294918431417016, 'gamma': 0.9194720910235031, 'max_depth': 10, 'subsample': 0.7805634059384223, 'sampling_method': 'gradient_based', 'reg_lambda': 0.799445721251105, 'min_child_weight': 4, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9758269720101781, 'tree_no': 41}
